episode,reward,episode_length
398,29.0,29
399,93.0,93
400,49.0,49
401,48.0,48
402,36.0,36
403,38.0,38
404,27.0,27
405,27.0,27
406,33.0,33
407,51.0,51
408,56.0,56
409,92.0,92
410,47.0,47
411,43.0,43
412,63.0,63
413,62.0,62
414,45.0,45
415,30.0,30
416,29.0,29
417,39.0,39
418,33.0,33
419,41.0,41
420,43.0,43
421,28.0,28
422,31.0,31
423,30.0,30
424,52.0,52
425,29.0,29
426,52.0,52
427,33.0,33
428,34.0,34
429,36.0,36
430,37.0,37
431,60.0,60
432,39.0,39
433,34.0,34
434,37.0,37
435,71.0,71
436,40.0,40
437,112.0,112
438,27.0,27
439,37.0,37
440,33.0,33
441,34.0,34
442,44.0,44
443,90.0,90
444,46.0,46
445,35.0,35
446,46.0,46
447,37.0,37
448,34.0,34
449,25.0,25
450,52.0,52
451,41.0,41
452,87.0,87
453,97.0,97
454,63.0,63
455,55.0,55
456,85.0,85
457,22.0,22
458,67.0,67
459,52.0,52
460,32.0,32
461,27.0,27
462,31.0,31
463,34.0,34
464,75.0,75
465,94.0,94
466,105.0,105
467,43.0,43
468,58.0,58
469,58.0,58
470,40.0,40
471,69.0,69
472,61.0,61
473,60.0,60
474,29.0,29
475,32.0,32
476,29.0,29
477,41.0,41
478,99.0,99
479,104.0,104
480,72.0,72
481,32.0,32
482,109.0,109
483,27.0,27
484,41.0,41
485,76.0,76
486,52.0,52
487,35.0,35
488,48.0,48
489,89.0,89
490,55.0,55
491,50.0,50
492,48.0,48
493,46.0,46
494,56.0,56
495,53.0,53
496,40.0,40
497,62.0,62
498,64.0,64
499,51.0,51
500,28.0,28
501,58.0,58
502,29.0,29
503,63.0,63
504,46.0,46
505,36.0,36
506,94.0,94
507,78.0,78
508,31.0,31
509,40.0,40
510,49.0,49
511,38.0,38
512,50.0,50
513,38.0,38
514,40.0,40
515,36.0,36
516,45.0,45
517,30.0,30
518,35.0,35
519,65.0,65
520,44.0,44
521,41.0,41
522,45.0,45
523,53.0,53
524,86.0,86
525,54.0,54
526,78.0,78
527,58.0,58
528,34.0,34
529,50.0,50
530,59.0,59
531,78.0,78
532,62.0,62
533,34.0,34
534,39.0,39
535,48.0,48
536,52.0,52
537,30.0,30
538,37.0,37
539,125.0,125
540,41.0,41
541,38.0,38
542,69.0,69
543,150.0,150
544,39.0,39
545,37.0,37
546,67.0,67
547,71.0,71
548,77.0,77
549,51.0,51
550,64.0,64
551,54.0,54
552,68.0,68
553,77.0,77
554,67.0,67
555,51.0,51
556,86.0,86
557,50.0,50
558,52.0,52
559,46.0,46
560,86.0,86
561,52.0,52
562,135.0,135
563,65.0,65
564,92.0,92
565,73.0,73
566,74.0,74
567,53.0,53
568,65.0,65
569,63.0,63
570,175.0,175
571,78.0,78
572,74.0,74
573,96.0,96
574,75.0,75
575,71.0,71
576,78.0,78
577,53.0,53
578,73.0,73
579,56.0,56
580,143.0,143
581,192.0,192
582,152.0,152
583,103.0,103
584,66.0,66
585,65.0,65
586,78.0,78
587,80.0,80
588,58.0,58
589,54.0,54
590,84.0,84
591,113.0,113
592,164.0,164
593,80.0,80
594,68.0,68
595,74.0,74
596,191.0,191
597,64.0,64
598,172.0,172
599,56.0,56
600,90.0,90
601,54.0,54
602,86.0,86
603,103.0,103
604,268.0,268
605,68.0,68
606,69.0,69
607,72.0,72
608,64.0,64
609,108.0,108
610,104.0,104
611,93.0,93
612,102.0,102
613,60.0,60
614,56.0,56
615,103.0,103
616,165.0,165
617,75.0,75
618,209.0,209
619,151.0,151
620,101.0,101
621,69.0,69
622,206.0,206
623,81.0,81
624,77.0,77
625,87.0,87
626,183.0,183
627,92.0,92
628,131.0,131
629,161.0,161
630,175.0,175
631,218.0,218
632,94.0,94
633,87.0,87
634,154.0,154
635,178.0,178
636,274.0,274
637,202.0,202
638,309.0,309
639,80.0,80
640,96.0,96
641,82.0,82
642,324.0,324
643,254.0,254
644,81.0,81
645,80.0,80
646,68.0,68
647,136.0,136
648,119.0,119
649,109.0,109
650,184.0,184
651,138.0,138
652,129.0,129
653,169.0,169
654,238.0,238
655,161.0,161
656,138.0,138
657,243.0,243
658,143.0,143
659,191.0,191
660,164.0,164
661,149.0,149
662,263.0,263
663,150.0,150
664,133.0,133
665,182.0,182
666,172.0,172
667,164.0,164
668,131.0,131
669,186.0,186
670,198.0,198
671,173.0,173
672,266.0,266
673,157.0,157
674,183.0,183
675,317.0,317
676,192.0,192
677,149.0,149
678,166.0,166
679,316.0,316
680,167.0,167
681,202.0,202
682,192.0,192
683,176.0,176
684,172.0,172
685,279.0,279
686,313.0,313
687,274.0,274
688,188.0,188
689,296.0,296
690,312.0,312
691,166.0,166
692,164.0,164
693,181.0,181
694,203.0,203
695,284.0,284
696,286.0,286
697,202.0,202
698,157.0,157
699,209.0,209
700,205.0,205
701,219.0,219
702,269.0,269
703,246.0,246
704,269.0,269
705,200.0,200
706,373.0,373
707,457.0,457
708,364.0,364
709,312.0,312
710,343.0,343
711,234.0,234
712,286.0,286
713,228.0,228
714,239.0,239
715,251.0,251
716,253.0,253
717,342.0,342
718,380.0,380
719,262.0,262
720,279.0,279
721,416.0,416
722,487.0,487
723,349.0,349
724,371.0,371
725,374.0,374
726,315.0,315
727,411.0,411
728,500.0,500
729,500.0,500
730,500.0,500
731,500.0,500
732,500.0,500
733,500.0,500
734,500.0,500
735,500.0,500
736,500.0,500
737,390.0,390
738,500.0,500
739,500.0,500
740,500.0,500
741,500.0,500
742,500.0,500
743,500.0,500
744,500.0,500
745,449.0,449
746,336.0,336
747,293.0,293
748,252.0,252
749,289.0,289
750,329.0,329
751,286.0,286
752,326.0,326
753,334.0,334
754,419.0,419
755,500.0,500
756,500.0,500
757,500.0,500
758,500.0,500
759,500.0,500
760,500.0,500
761,500.0,500
762,500.0,500
763,500.0,500
764,427.0,427
765,299.0,299
766,499.0,499
767,500.0,500
768,374.0,374
769,338.0,338
770,500.0,500
771,349.0,349
772,500.0,500
773,402.0,402
774,483.0,483
775,500.0,500
776,500.0,500
777,500.0,500
778,500.0,500
779,500.0,500
780,500.0,500
781,500.0,500
782,500.0,500
783,342.0,342
784,350.0,350
785,250.0,250
786,248.0,248
787,249.0,249
788,289.0,289
789,327.0,327
790,323.0,323
791,321.0,321
792,316.0,316
793,304.0,304
794,310.0,310
795,311.0,311
796,351.0,351
797,292.0,292
798,362.0,362
799,340.0,340
800,312.0,312
801,279.0,279
802,285.0,285
803,273.0,273
804,318.0,318
805,258.0,258
806,494.0,494
807,496.0,496
808,403.0,403
809,497.0,497
810,336.0,336
811,381.0,381
812,334.0,334
813,272.0,272
814,288.0,288
815,422.0,422
816,312.0,312
817,354.0,354
818,394.0,394
819,300.0,300
820,393.0,393
821,369.0,369
822,288.0,288
823,265.0,265
824,279.0,279
