episode,reward,episode_length
398,46.0,46
399,62.0,62
400,40.0,40
401,44.0,44
402,122.0,122
403,85.0,85
404,52.0,52
405,39.0,39
406,57.0,57
407,79.0,79
408,36.0,36
409,49.0,49
410,42.0,42
411,57.0,57
412,71.0,71
413,55.0,55
414,43.0,43
415,48.0,48
416,30.0,30
417,46.0,46
418,32.0,32
419,95.0,95
420,51.0,51
421,39.0,39
422,57.0,57
423,51.0,51
424,77.0,77
425,67.0,67
426,47.0,47
427,77.0,77
428,61.0,61
429,65.0,65
430,58.0,58
431,67.0,67
432,101.0,101
433,73.0,73
434,57.0,57
435,79.0,79
436,54.0,54
437,50.0,50
438,64.0,64
439,34.0,34
440,44.0,44
441,62.0,62
442,41.0,41
443,52.0,52
444,30.0,30
445,37.0,37
446,43.0,43
447,33.0,33
448,32.0,32
449,34.0,34
450,62.0,62
451,69.0,69
452,29.0,29
453,33.0,33
454,67.0,67
455,58.0,58
456,127.0,127
457,48.0,48
458,98.0,98
459,57.0,57
460,52.0,52
461,60.0,60
462,37.0,37
463,47.0,47
464,77.0,77
465,47.0,47
466,28.0,28
467,40.0,40
468,38.0,38
469,34.0,34
470,30.0,30
471,31.0,31
472,110.0,110
473,67.0,67
474,40.0,40
475,55.0,55
476,37.0,37
477,41.0,41
478,46.0,46
479,38.0,38
480,37.0,37
481,34.0,34
482,52.0,52
483,38.0,38
484,37.0,37
485,46.0,46
486,86.0,86
487,30.0,30
488,36.0,36
489,37.0,37
490,26.0,26
491,43.0,43
492,43.0,43
493,29.0,29
494,46.0,46
495,58.0,58
496,32.0,32
497,65.0,65
498,84.0,84
499,36.0,36
500,56.0,56
501,68.0,68
502,49.0,49
503,41.0,41
504,76.0,76
505,26.0,26
506,38.0,38
507,49.0,49
508,33.0,33
509,34.0,34
510,48.0,48
511,37.0,37
512,32.0,32
513,48.0,48
514,24.0,24
515,35.0,35
516,35.0,35
517,37.0,37
518,41.0,41
519,39.0,39
520,48.0,48
521,46.0,46
522,33.0,33
523,80.0,80
524,30.0,30
525,37.0,37
526,36.0,36
527,36.0,36
528,57.0,57
529,50.0,50
530,63.0,63
531,31.0,31
532,31.0,31
533,50.0,50
534,54.0,54
535,30.0,30
536,55.0,55
537,29.0,29
538,38.0,38
539,28.0,28
540,74.0,74
541,36.0,36
542,30.0,30
543,35.0,35
544,33.0,33
545,23.0,23
546,42.0,42
547,25.0,25
548,74.0,74
549,32.0,32
550,38.0,38
551,55.0,55
552,49.0,49
553,38.0,38
554,51.0,51
555,52.0,52
556,44.0,44
557,38.0,38
558,38.0,38
559,31.0,31
560,49.0,49
561,48.0,48
562,25.0,25
563,53.0,53
564,34.0,34
565,71.0,71
566,54.0,54
567,40.0,40
568,42.0,42
569,49.0,49
570,67.0,67
571,111.0,111
572,32.0,32
573,73.0,73
574,52.0,52
575,45.0,45
576,79.0,79
577,36.0,36
578,32.0,32
579,34.0,34
580,29.0,29
581,72.0,72
582,41.0,41
583,74.0,74
584,32.0,32
585,42.0,42
586,124.0,124
587,44.0,44
